query,relevant_returned,recall@30,returned_book,relevance
토마스 만,12,0.364,A baby just now? / Walter Trobisch,0
토마스 만,12,0.364,Bahnwärter Thiel / Gerhart Hauptmann,0
토마스 만,12,0.364,Buddenbrooks / Thomas Mann,1
토마스 만,12,0.364,Christoph Martin Wieland der Weisheitslehrer / Ludwig Fertig,0
토마스 만,12,0.364,Das Majorat / E.T.A. Hoffmann,0
토마스 만,12,0.364,Das große Buch der Indianer / Thomas Jeier,0
토마스 만,12,0.364,"Der Erlkönig / Herder, Gryphius",0
토마스 만,12,0.364,Der Erwählte / Felix Krull / Thomas Mann,1
토마스 만,12,0.364,"Der Sandmann, Das öde Haus / E.T.A. Hoffmann",0
토마스 만,12,0.364,Der Tod in Venedig / Thomas Mann,1
토마스 만,12,0.364,Der Zauberberg 2 / Thomas Mann,1
토마스 만,12,0.364,Die Erzählungen Band 1 / Thomas Mann,1
토마스 만,12,0.364,Ein Haus aus Erde geboren / Lore Toman,0
토마스 만,12,0.364,Every Dead Thing / John Connolly,0
토마스 만,12,0.364,Hanneles Himmelfahrt / Gerhart Hauptmann,0
토마스 만,12,0.364,Ich stehe nicht mehr zur Verfügung / Olaf Jacobsen,0
토마스 만,12,0.364,Immer wieder tönt Olifant / Hermann Theurer Samek,0
토마스 만,12,0.364,Interpretationen Th.Mann Romane und Erzählungen / (Interpretationen),1
토마스 만,12,0.364,Joseph und seine Brüder 1 / Thomas Mann,1
토마스 만,12,0.364,Lotte in Weimar / Thomas Mann,1
토마스 만,12,0.364,Nathan der Weise / Kindermann,0
토마스 만,12,0.364,Thomas Bernhard: Mein eigentümlicher Nachbar / Johann Maxwald,0
토마스 만,12,0.364,Thomas Mann / -,1
토마스 만,12,0.364,Thomas Mann / Helmut Koopmann,1
토마스 만,12,0.364,Tristan / Thomas Mann,1
토마스 만,12,0.364,Tristan / Thomas Mann,1
토마스 만,12,0.364,Und überall ist Bethlehem / Josef Bernegger,0
토마스 만,12,0.364,Walter Benjamin Gesammelte Schriften Bd. 1. 4 / Walter Benjamin,0
토마스 만,12,0.364,Walter Benjamin Gesammelte Schriften Bd. 2. 2 / Walter Benjamin,0
토마스 만,12,0.364,Was wissen wir über Jesus? / Howard Clark Kee,0
브레히트,4,0.167,브레히트와 현대연극 제 19집 / 한국브레히트학회,0
브레히트,4,0.167,브레히트와 현대연극 제 34집 / 한국브레히트학회,1
